               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13718,             0.21112,                   0,           0.0014377,           0.0039788,          0.00072817,          0.00019479,              0.1342,             0.25599,                   0,              0.0946,              0.0006,              0.0006
                   1,             0.13585,             0.22584,                   0,           0.0022312,           0.0095491,           0.0011281,          0.00027217,             0.13124,             0.27326,                   0,            0.088287,           0.0012871,           0.0012871
                   2,             0.13151,             0.22881,                   0,           0.0066395,             0.04748,           0.0034801,          0.00091666,             0.12614,             0.28684,                   0,             0.08196,           0.0019604,           0.0019604
                   3,             0.12649,              0.2476,                   0,            0.018433,             0.14668,            0.010889,           0.0026183,             0.11644,             0.30854,                   0,             0.07562,           0.0026198,           0.0026198
                   4,             0.11825,             0.24453,                   0,            0.034228,             0.22334,             0.02375,           0.0062748,             0.10293,             0.32175,                   0,            0.069265,           0.0032654,           0.0032654
