               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1372,             0.21106,                   0,           0.0014483,           0.0039788,          0.00073342,          0.00020094,             0.13421,             0.25519,                   0,              0.0946,              0.0006,              0.0006
                   1,             0.13585,             0.22583,                   0,           0.0021147,           0.0090186,           0.0010694,           0.0002545,             0.13126,             0.27217,                   0,            0.088287,           0.0012871,           0.0012871
                   2,             0.13156,             0.22862,                   0,           0.0069517,            0.049337,           0.0036507,          0.00093252,             0.12621,             0.28499,                   0,             0.08196,           0.0019604,           0.0019604
                   3,             0.12653,             0.24763,                   0,              0.0176,             0.14005,            0.010339,           0.0025011,             0.11631,             0.30478,                   0,             0.07562,           0.0026198,           0.0026198
                   4,             0.11836,             0.24402,                   0,            0.037433,             0.29788,            0.029454,           0.0072518,             0.10297,             0.31855,                   0,            0.069265,           0.0032654,           0.0032654
                   5,             0.11215,             0.24604,                   0,             0.12243,             0.21582,            0.082109,             0.02217,             0.10087,             0.30424,                   0,            0.062897,            0.003897,            0.003897
                   6,             0.10282,             0.24046,                   0,            0.035633,             0.28355,            0.031295,           0.0066847,             0.10152,             0.40701,                   0,            0.056515,           0.0045149,           0.0045149
                   7,            0.096152,             0.25564,                   0,             0.10348,              0.2756,            0.076979,            0.017623,            0.096038,             0.39867,                   0,            0.050119,           0.0051188,           0.0051188
                   8,            0.094821,             0.25287,                   0,             0.25048,             0.36149,             0.21415,            0.055669,            0.086621,             0.40547,                   0,            0.043709,            0.005709,            0.005709
                   9,            0.087349,             0.25048,                   0,             0.24281,             0.42971,             0.20555,            0.056699,            0.095906,              0.4202,                   0,            0.037285,           0.0062852,           0.0062852
                  10,            0.084471,             0.26165,                   0,             0.35296,             0.46809,             0.33331,            0.093283,            0.087895,             0.36124,                   0,            0.030848,           0.0068476,           0.0068476
                  11,            0.081939,             0.26465,                   0,             0.23966,             0.54093,             0.24639,            0.075921,            0.090592,             0.47595,                   0,            0.024396,           0.0073961,           0.0073961
                  12,            0.080401,             0.25755,                   0,             0.40431,             0.54377,             0.41162,             0.12833,            0.072912,             0.34947,                   0,            0.017931,           0.0079308,           0.0079308
                  13,             0.08062,             0.27571,                   0,             0.26221,             0.54164,             0.26487,            0.076954,            0.089889,             0.47472,                   0,            0.011452,           0.0084516,           0.0084516
                  14,            0.087363,              0.2624,                   0,              0.2932,             0.50398,             0.26532,            0.072901,            0.088499,             0.38813,                   0,            0.008614,            0.008614,            0.008614
                  15,            0.079199,             0.26169,                   0,             0.33462,             0.52281,              0.3303,            0.099325,            0.077039,             0.37318,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.080232,             0.25173,                   0,             0.21494,             0.56741,             0.20884,            0.066551,            0.081725,              0.3418,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.074422,             0.26323,                   0,             0.34564,              0.5366,             0.36913,              0.1061,            0.079981,             0.38361,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.077033,             0.26548,                   0,             0.21846,             0.45199,             0.20534,            0.058349,            0.094627,             0.35799,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.076896,              0.2653,                   0,             0.41543,             0.62387,             0.47521,             0.14685,            0.068553,             0.35485,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.072531,             0.25772,                   0,             0.29335,             0.60618,             0.30655,            0.098604,            0.073927,             0.31162,                   0,            0.008119,            0.008119,            0.008119
                  21,             0.06877,             0.25579,                   0,             0.33019,             0.55305,             0.35145,             0.11228,            0.074297,             0.33957,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.070466,             0.23714,                   0,               0.331,             0.54324,             0.36269,             0.11802,            0.073289,              0.3066,                   0,            0.007921,            0.007921,            0.007921
